num_vertices,num_faces,bounding_box
390,572,[0.64008632 1.         0.22710105]
434,656,[0.81482316 1.         0.2625    ]
770,1316,[0.80329895 1.         0.22221684]
354,520,[0.82742421 1.         0.20495158]
718,1232,[1.         0.99167053 0.22836947]
3351,6272,[1.         0.33847474 0.71000842]
482,768,[0.71644    1.         0.18077053]
882,1428,[0.73442105 1.         0.19448947]
624,1024,[0.78394421 1.         0.30128105]
338,512,[0.54461895 1.         0.156     ]
264,360,[0.54832316 1.         0.16426   ]
904,1628,[0.56221895 1.         0.21929789]
408,524,[0.45998211 1.         0.18380842]
2050,3586,[1.         0.95612924 0.38253126]
2920,4234,[0.65519368 1.         0.26250947]
11819,23138,[1.         0.30088842 0.62634737]
3336,6570,[0.50473158 1.         0.19443474]
3627,6736,[1.         0.72831684 0.28032   ]
1700,3016,[0.9088 0.3128 1.    ]
233,462,[1.         0.54920993 0.24092248]
15871,31702,[1.         0.8857209  0.67496541]
8188,16135,[1.         0.58285262 0.26919701]
1247,2468,[1.         0.84903505 0.23659569]
12813,24753,[1.         0.68605015 0.21048288]
13253,26516,[1.         0.54288714 0.24688641]
260,364,[1.         0.26900351 0.04689148]
1751,3498,[1.         0.34252852 0.1105874 ]
1824,3709,[1.         0.46471418 0.1316932 ]
8996,17119,[1.         0.62825424 0.50426918]
1162,2012,[1.         0.35693481 0.20471001]
1792,3626,[1.         0.37922985 0.10760194]
1091,1398,[1.         0.75524416 0.5199723 ]
2683,5388,[1.         0.31939883 0.27738722]
3947,7898,[1.         0.48190488 0.14298939]
950,1896,[1.         0.88169274 0.36317576]
757,1507,[1.         0.47956112 0.25655211]
903,1794,[1.         0.74984239 0.50983674]
1344,2734,[1.         0.5692811  0.12775656]
373,744,[1.         0.34909051 0.13594075]
6076,11660,[0.46703263 0.58234105 1.        ]
2972,5878,[0.33867158 0.93650737 1.        ]
390,800,[0.35205263 0.52605158 1.        ]
1802,3548,[0.50089158 1.         0.51535579]
1129,2246,[0.37660211 0.66666632 1.        ]
3144,6164,[0.54368211 0.70258526 1.        ]
233,462,[1.         0.24437263 0.54662421]
699,1394,[0.80776105 0.64324211 1.        ]
1289,2503,[0.96793789 0.82518105 1.        ]
567,1130,[1.         0.43395579 0.75916105]
464,928,[1.         0.24808526 0.28169368]
649,1156,[0.90376211 1.         0.24690211]
2684,5390,[1.         0.27352105 0.33987263]
1824,3709,[1.         0.12868316 0.46601684]
116,265,[1.         0.19485158 0.49688737]
41,54,[0.94958526 0.61175368 1.        ]
401,798,[1.         0.45666632 0.254     ]
16542,33072,[1.         0.27931368 0.48572105]
101,165,[0.70610842 0.12963579 1.        ]
427,824,[0.48739474 0.45378211 1.        ]
2329,4364,[1.         0.81683368 0.70115895]
93,182,[0.40110316 0.56766632 1.        ]
309,598,[1.         0.47861474 0.55440842]
294,560,[1.         0.62701789 0.93152947]
444,3156,[1.         0.61904762 0.64285714]
320,816,[0.58067334 1.         0.61101442]
206,1152,[1.         0.72781294 0.8239381 ]
2208,14844,[0.23209548 1.         0.37566775]
668,2373,[0.85496403 0.74670504 1.        ]
140,780,[0.86300094 0.90778843 1.        ]
360,918,[1.         0.53030064 0.55800967]
1203,6861,[1.         0.39316451 0.55870746]
624,2544,[1.         0.55578407 0.56183439]
1614,9798,[0.40365229 1.         0.68469162]
1203,6861,[0.70769612 1.         0.87717234]
160,936,[0.77340332 0.83333333 1.        ]
108,624,[1.         0.63703259 0.73434375]
1645,10185,[1.         0.43767055 0.48041557]
2291,7149,[0.86380352 0.9085722  1.        ]
187,1020,[0.74731725 0.96114673 1.        ]
891,3231,[1.         0.61689294 0.90414627]
247,1557,[0.58479018 0.70635727 1.        ]
2393,14484,[0.22384547 1.         0.37454414]
240,1524,[1.         0.56409357 0.56398146]
857,1710,[1.         0.26104485 0.25231803]
1067,2044,[1.         0.25217835 0.23206313]
2452,4860,[1.         0.24602178 0.24218768]
23142,45936,[1.         0.48067621 0.32090064]
7138,14272,[1.         0.32202009 0.31143671]
1824,3640,[1.         0.31388095 0.28895804]
897,1764,[1.         0.30542432 0.30359149]
728,1448,[1.         0.40213769 0.39831166]
2165,4438,[1.         0.27438122 0.2730025 ]
490,921,[1.         0.25344118 0.27112927]
1380,2742,[1.         0.51926428 0.51226393]
9202,18236,[1.         0.47767191 0.4416578 ]
11776,23052,[1.         0.31202215 0.30857891]
13038,25850,[1.         0.26933621 0.24173464]
177,336,[1.         0.44268071 0.43557479]
433,856,[1.         0.5258209  0.17418831]
9294,18390,[1.         0.31036072 0.31073788]
2474,4940,[1.         0.25991939 0.25308427]
628,1242,[1.         0.43132608 0.42717563]
479,892,[1.         0.25534517 0.25546547]
542,950,[0.27857158 1.         0.28209158]
371,620,[0.24883263 1.         0.24883263]
460,888,[0.27777053 1.         0.27795789]
526,936,[0.27857158 1.         0.27857158]
2101,3894,[0.29105158 1.         0.29225158]
133,290,[0.30358316 1.         0.30358316]
144,284,[1.         0.36877053 0.36864632]
558,1055,[0.33499368 1.         0.31983684]
570,1075,[0.35615263 1.         0.35615263]
544,997,[0.55257368 1.         0.46318421]
359,724,[0.28421895 0.28421579 1.        ]
252,400,[0.96822842 0.67962211 1.        ]
2328,4460,[0.64029474 1.         0.59277368]
2983,4686,[1.         0.27884421 0.89061684]
674,918,[0.92       1.         0.63322316]
532,1008,[0.97452    1.         0.96394105]
844,1668,[1.         0.41884842 0.94245684]
2509,5100,[0.75429474 1.         0.65811053]
40,45,[0.88632459 0.77662559 1.        ]
246,274,[0.61382737 0.82099368 1.        ]
33,80,[0.83333368 1.         0.33333368]
241,326,[1.         0.64309158 0.86604421]
750,1246,[0.91939263 1.         0.91962316]
630,696,[0.95105684 0.99894211 1.        ]
445,470,[0.97329158 1.         0.84289579]
1362,2680,[1.         0.95000421 0.99999895]
498,936,[0.88973474 0.65021474 1.        ]
7530,13536,[1.         0.61304316 0.99645368]
488,840,[0.79310316 0.80379263 1.        ]
6936,13373,[1.         0.19070526 1.        ]
21104,41661,[0.65792632 1.         0.67423895]
1054,2752,[1.         0.42415684 0.75842737]
21009,41835,[1.         0.88912421 0.96741789]
7328,13892,[0.71450421 1.         0.68789684]
229,404,[0.81513789 1.         0.76950211]
1252,2372,[0.65243368 0.59782632 1.        ]
1509,1988,[1.         0.20679684 0.71912947]
1217,2076,[1.         0.43892737 0.96918   ]
1990,2820,[1.         0.10853684 0.51219474]
3749,7282,[1.         0.90063579 0.90294105]
1056,1944,[1.     0.7359 1.    ]
508,956,[0.70588211 0.45882316 1.        ]
7056,13542,[0.51639368 0.40803368 1.        ]
1576,2836,[0.72513474 0.65108947 1.        ]
7226,12960,[0.67342105 0.39819684 1.        ]
6853,11000,[0.59201368 0.31951579 1.        ]
14452,28562,[0.17549579 0.66781474 1.        ]
118,248,[0.24       1.         0.22813474]
358,704,[0.47846842 1.         0.47846842]
1361,2670,[0.99314842 0.84638211 1.        ]
112,178,[1.         0.53333368 1.        ]
1047,1708,[1.         0.29575263 0.4       ]
1750,2980,[1.         0.14968842 0.86902316]
648,1056,[1.         0.28770316 0.52049474]
473,760,[1.  0.2 1. ]
12919,75870,[0.22004473 1.         0.26888549]
7643,53259,[1.         0.32815001 0.5686367 ]
9415,54282,[0.2521252  1.         0.31577118]
5976,42567,[0.25530802 1.         0.29169037]
13436,86502,[1.         0.18481146 0.24470187]
11096,67185,[0.28671078 1.         0.28919347]
4964,34821,[1.         0.33939054 0.2623593 ]
4587,29118,[0.32354917 1.         0.30854824]
4915,28227,[1.         0.2019349  0.31765034]
7367,42369,[1.         0.34366458 0.41317943]
6082,25650,[0.42767865 1.         0.41193084]
4096,24888,[1.         0.29528149 0.30595131]
11964,65712,[1.         0.4042219  0.45669081]
8861,59982,[0.19853943 1.         0.2993352 ]
8963,56925,[0.20268163 1.         0.36604459]
9506,65670,[1.         0.26911147 0.39050743]
7063,40023,[1.         0.22586127 0.31574539]
7367,45333,[0.29868946 1.         0.2784765 ]
3137,18774,[0.48715722 1.         0.41907138]
5220,28053,[1.         0.27000581 0.30870326]
4350,8157,[1.         0.3808361  0.33969221]
26704,45234,[1.         0.47439421 0.516066  ]
35859,57440,[1.         0.5435773  0.49030836]
4958,9157,[1.         0.39971968 0.30253376]
22232,45452,[1.         0.67900228 0.56176903]
8260,16515,[1.         0.49861783 0.28138808]
12440,24552,[1.         0.49890488 0.47052775]
23843,47667,[1.         0.55187221 0.46048812]
5153,9168,[1.         0.5631509  0.30971654]
2956,4770,[1.         0.46849163 0.46800657]
3506,5877,[1.         0.42658279 0.26978065]
3861,6755,[1.         0.37352582 0.29023848]
19302,37380,[1.         0.37624014 0.33482324]
17658,29905,[1.         0.50574212 0.4428267 ]
10616,20980,[1.         0.43939675 0.38252414]
7061,11230,[1.         0.4386254  0.40354382]
5322,9907,[1.         0.44396619 0.3166938 ]
24935,50126,[1.         0.35398023 0.23556726]
13689,24340,[1.         0.388264   0.39189284]
18122,32782,[1.         0.54760807 0.39496083]
6148,12263,[0.41810842 0.45824632 1.        ]
5911,11230,[0.43954316 0.39125474 1.        ]
7454,15436,[0.47814211 0.39307789 1.        ]
4952,9223,[0.57242632 0.50716842 1.        ]
1684,3352,[0.50543053 0.49542842 1.        ]
2868,5566,[1.         0.51729158 0.42368526]
5914,10880,[0.49947579 0.59851579 1.        ]
6869,13402,[1.         0.44933263 0.34588421]
8404,16736,[0.36747158 0.34851263 1.        ]
3655,7234,[1.         0.31849895 0.33462316]
5514,10496,[0.36845474 0.28593158 1.        ]
15465,31807,[1.         0.37593368 0.52278526]
1644,3260,[0.42387474 0.37463789 1.        ]
4970,7120,[1.         0.19095368 0.50508947]
24786,50685,[1.         0.20136211 0.18628842]
1621,3269,[0.44786    0.19758526 1.        ]
10969,21007,[0.38558737 0.19523053 1.        ]
4284,7879,[0.56621263 1.         0.26551158]
6514,12769,[0.43446211 0.19798    1.        ]
4336,10492,[1.         0.19751053 0.41571263]
47555,95017,[0.55533263 0.38045684 1.        ]
54710,109357,[0.48740632 0.23192737 1.        ]
10828,20577,[0.58516842 0.23780421 1.        ]
6814,11468,[1.         0.37327368 0.23448842]
13106,20844,[1.         0.43446206 0.2895109 ]
18662,36856,[0.45478    0.24817368 1.        ]
250,391,[0.49616947 0.22462211 1.        ]
12279,24863,[0.41832737 1.         0.27765053]
3955,7448,[0.43568105 0.31495263 1.        ]
7486,14482,[0.40183053 0.30698421 1.        ]
4275,7958,[0.37064526 0.26083789 1.        ]
308,580,[0.40743263 0.25733158 1.        ]
2676,4713,[0.40342    0.27472421 1.        ]
1830,3640,[1.         0.34655579 0.42584211]
1517,3014,[0.42277474 0.32966421 1.        ]
10545,21450,[0.44801263 1.         0.34777789]
320,560,[0.42636842 0.27566105 1.        ]
7315,14450,[1.         0.32434211 0.92822105]
18656,37254,[0.36771158 0.26920947 1.        ]
4168,7412,[0.42424105 0.32386105 1.        ]
1268,2286,[1.     0.2885 0.394 ]
2170,4060,[1.         0.31424842 0.37124737]
132,134,[0.44973158 0.39103368 1.        ]
7374,14462,[0.37858316 0.27628842 1.        ]
15178,29304,[0.36726842 0.27998842 1.        ]
1503,3653,[0.63631895 1.         0.50037474]
1830,3640,[1.         0.26364316 0.41317053]
8254,16515,[0.47470526 0.26958421 1.        ]
8492,16860,[1.         0.25262526 0.41636737]
4384,7414,[0.47382421 0.33738211 1.        ]
386,548,[1.         0.27217895 0.45514105]
60313,116378,[0.47876526 0.23904947 1.        ]
8278,14914,[1.         0.26764211 0.44927895]
9068,15012,[1.         0.57794526 0.26528211]
249,440,[1.         0.25405895 0.57493684]
8278,14914,[1.         0.26764211 0.44927895]
9369,17526,[0.45187579 0.25626105 1.        ]
18528,35465,[1.         0.25474421 0.44643158]
5247,10474,[1.         0.31389895 0.41454   ]
1239,1915,[1.         0.29105368 0.47136421]
16607,30255,[1.         0.41496632 0.31292526]
35130,119540,[1.         0.32494316 0.35855895]
8489,16656,[1.         0.37388    0.40635053]
6939,11791,[0.33922632 0.29694526 1.        ]
15606,30000,[0.41170842 0.54381789 1.        ]
21686,43584,[1.         0.6375     0.68095158]
332,558,[0.52480526 0.50088842 1.        ]
12016,21840,[1.         0.66954105 0.66219895]
616,1110,[0.70916421 0.50367263 1.        ]
14101,26960,[1.         0.40513143 0.27822882]
1271,2481,[1.         0.47282356 0.17694815]
20105,36972,[1.         0.39688312 0.2232989 ]
34506,74103,[1.         0.46536841 0.12709888]
1230,2380,[1.         0.45014468 0.15901321]
5687,11460,[1.         0.45494901 0.14800669]
348,644,[0.50194747 1.         0.03921791]
6318,11987,[1.         0.42182985 0.22280323]
27252,53829,[1.         0.53739345 0.12316743]
925,1735,[1.         0.29968164 0.20285415]
742,1422,[1.         0.27668212 0.15466503]
8796,16102,[1.         0.46566412 0.20463799]
16185,59840,[1.         0.36636617 0.17292944]
7977,14376,[1.         0.49597266 0.19638098]
2527,5956,[1.         0.3387411  0.18633078]
5016,9766,[1.         0.55501406 0.17796512]
9738,18396,[1.         0.36030495 0.1412608 ]
2288,4580,[1.         0.51298321 0.23170022]
2524,5956,[1.         0.32551056 0.18386127]
4288,8564,[1.         0.35581494 0.19396892]
380,756,[1.         0.62727825 0.63670168]
416,828,[0.44175895 1.         0.44173579]
1474,2944,[1.         0.51268947 0.51268947]
389,772,[0.37827263 1.         0.37827263]
1542,3080,[0.40004632 1.         0.40004632]
214,419,[0.40955684 1.         0.40955684]
89,168,[0.66666632 1.         0.66666632]
250,496,[0.44648105 1.         0.44648105]
6727,13450,[0.55908    1.         0.55769474]
2386,4750,[0.63640105 1.         0.62900632]
282,560,[0.43338947 1.         0.43338947]
1182,2360,[0.44030211 1.         0.44030211]
390,776,[0.43467053 1.         0.43467053]
802,1600,[0.51978105 1.         0.51978105]
1282,2600,[0.42015789 1.         0.42016105]
416,828,[1.         0.44145662 0.44194773]
390,776,[1.         0.43464133 0.43466376]
4002,8000,[0.65382947 1.         0.65349368]
154,304,[0.52775474 1.         0.52775474]
242,480,[0.84210526 1.         0.84210526]
3782,7218,[0.99524    0.23843579 1.        ]
7339,14472,[0.99999789 0.25370842 1.        ]
25650,50984,[1.         0.25492842 0.99999263]
60667,121343,[1.         0.17608316 1.        ]
16803,32997,[0.56249895 0.13289368 1.        ]
1182,2360,[0.44030211 1.         0.44030211]
250,496,[0.44648105 1.         0.44648105]
416,828,[0.44175895 1.         0.44173579]
6727,13450,[0.55908    1.         0.55769474]
1542,3080,[0.40004632 1.         0.40004632]
389,772,[0.37827263 1.         0.37827263]
214,419,[0.40955684 1.         0.40955684]
89,168,[0.66666632 1.         0.66666632]
2386,4750,[0.63640105 1.         0.62900632]
802,1600,[0.51978105 1.         0.51978105]
242,480,[0.84210526 1.         0.84210526]
154,304,[0.52775474 1.         0.52775474]
6094,12184,[0.65382947 1.         0.65349368]
1474,2944,[1.         0.51268947 0.51268947]
1282,2600,[0.42015789 1.         0.42016105]
282,560,[0.43338947 1.         0.43338947]
390,776,[0.43467053 1.         0.43467053]
6615,7853,[1.         0.21607053 0.64847158]
3153,3119,[1.         0.36455321 0.64847077]
1049,1948,[0.76686    0.33621368 1.        ]
6529,10335,[1.         0.20911158 0.91595158]
1335,2022,[0.85884421 0.05664684 1.        ]
1636,1767,[0.90398737 0.46484947 1.        ]
9894,17091,[1.         0.07210095 0.86095053]
5535,9290,[1.         0.19486211 0.99799789]
9201,17394,[1.         0.05777779 0.95105684]
7089,13409,[0.81788737 0.09095211 1.        ]
1292,2136,[0.50015368 0.20081579 1.        ]
1273,1337,[1.         0.29086737 1.        ]
26064,35805,[0.49302211 0.10264947 1.        ]
2273,3112,[0.87497684 0.16871895 1.        ]
5138,9152,[1.         0.31379053 0.73465895]
5780,10712,[1.         0.33685158 1.        ]
2341,4217,[1.         0.04040526 0.94736842]
5135,5327,[1.         0.22212316 0.64847158]
14710,16111,[1.         0.36455321 0.64847077]
16857,16061,[1.         0.18263053 0.76851474]
2274,2938,[0.87497684 0.16871895 1.        ]
5538,9290,[1.         0.19486211 0.99799789]
5804,10692,[1.         0.33685158 1.        ]
2341,4217,[1.         0.04040526 0.94736842]
1344,2022,[0.85884421 0.05664632 1.        ]
9201,17394,[1.         0.05777789 0.95105684]
1049,1891,[0.76686    0.33621368 1.        ]
626,3708,[0.79985093 0.98279682 1.        ]
2027,11958,[0.57686475 1.         0.62712074]
1611,10902,[1.         0.91381597 0.34866355]
5901,33381,[0.77124132 1.         0.97393806]
231,1311,[1.         0.77310366 0.93313799]
1572,10371,[0.86201889 1.         0.69844513]
5204,27690,[1.         0.64413984 0.53957093]
1335,8016,[0.66153313 1.         0.50523792]
7253,43107,[1.        0.4794724 0.6462134]
1710,10353,[0.57737051 1.         0.30848029]
6800,31047,[0.82901446 1.         0.87729921]
1826,9165,[0.67956588 1.         0.58698863]
2369,12150,[0.5824724  1.         0.67407153]
8121,47805,[0.55585557 1.         0.74434405]
5131,31437,[0.76018339 1.         0.77916086]
3135,15573,[0.6058003  1.         0.69950756]
615,3606,[0.79080987 1.         0.93918348]
750,3345,[0.82308108 1.         0.96594438]
1420,8391,[1.         0.89225842 0.59859857]
204,954,[1.         0.80818464 0.45877177]
2591,5109,[1.         0.65642316 0.67882105]
11463,20749,[0.39701984 0.91572765 1.        ]
396,760,[1.      0.70932 0.97428]
2503,4217,[1.         0.47647158 0.73598842]
2986,5666,[0.67138632 0.65566947 1.        ]
135,400,[0.92403158 0.86752053 1.        ]
5026,9528,[1.         0.70967158 0.97457789]
3935,7734,[0.7253304  0.38624469 1.        ]
29,43,[0.82252211 0.82251789 1.        ]
325,618,[0.93201684 0.74896421 1.        ]
4638,8997,[1.         0.89143796 0.71640603]
4269,6365,[0.76851053 1.         0.64653789]
46,76,[0.71428526 1.         0.76190526]
668,1092,[1.         0.76404526 0.91824   ]
2986,5666,[0.67135069 1.         0.6556625 ]
28,30,[0.63574737 0.61407579 1.        ]
6515,11211,[0.76183588 1.         0.69210585]
17298,34133,[0.95199474 0.53484842 1.        ]
2673,5270,[0.79209053 0.41726316 1.        ]
270,538,[0.93103474 0.87138421 1.        ]
668,1092,[1.         0.76404526 0.91824   ]
28,30,[0.63574737 0.61407579 1.        ]
29,43,[0.82252211 0.82251789 1.        ]
2591,5109,[1.         0.65642316 0.67882105]
46,76,[0.71428526 1.         0.76190526]
2986,5666,[0.67138632 0.65566947 1.        ]
17301,34133,[0.95199474 0.53484842 1.        ]
2503,4217,[1.         0.47647158 0.73598842]
284,740,[0.92850316 0.87241474 1.        ]
396,760,[1.      0.70932 0.97428]
270,538,[0.93103474 0.87138421 1.        ]
325,618,[0.93201684 0.74896421 1.        ]
5026,9528,[1.         0.70967158 0.97457789]
805,4113,[1.         0.29878956 0.03919414]
701,3360,[0.26086957 1.         0.08293279]
6384,38268,[1.         0.36032976 0.07455032]
1043,5118,[1.         0.32020976 0.03917847]
6193,35826,[1.        0.2720093 0.0443   ]
8341,40758,[1.         0.32619838 0.06916484]
7131,45807,[1.         0.50468542 0.08333333]
1300,7944,[0.53722164 1.         0.06986705]
8309,26043,[1.        0.3008363 0.0345592]
348,2076,[0.39655172 1.         0.06666305]
8454,50064,[0.46900861 1.         0.07920597]
1837,10497,[1.         0.34977074 0.08087991]
6564,38160,[1.         0.37437111 0.10750222]
1179,7401,[0.36780916 1.         0.12173692]
796,4008,[1.         0.35531878 0.06714192]
7956,42939,[1.         0.51258268 0.06418339]
4176,31218,[1.         0.38725887 0.05053313]
6954,40641,[1.         0.3397655  0.12126705]
1282,7680,[0.36803862 1.         0.03984419]
1646,9150,[1.         0.34285714 0.100027  ]
235,884,[0.99955567 1.         0.80916752]
353,702,[1.         0.43576091 0.41236293]
12252,24500,[1.         0.62550833 0.62614307]
1906,3770,[1.         0.96269933 0.9585631 ]
395,786,[1.         0.81182145 0.81264212]
2490,5022,[1.         0.48733404 0.48378938]
2570,5231,[1.         0.42784248 0.42611324]
7114,14224,[1.         0.33024984 0.31083106]
3426,6976,[1.         0.80392619 0.80711689]
10801,21740,[1.         0.39383545 0.36200213]
4710,9420,[1.         0.78718425 0.78364563]
456,888,[1.         0.4778342  0.45456818]
12529,24928,[1.         0.57861376 0.5218943 ]
7102,14200,[1.         0.55840511 0.52195364]
6786,13568,[1.         0.61106505 0.61169285]
1539,3036,[1.         0.29717662 0.29733026]
10318,20331,[1.         0.66681423 0.61716936]
8388,16832,[1.         0.46245886 0.46240916]
1895,3748,[1.         0.89254911 0.89156672]
1553,3102,[1.         0.61322827 0.57971643]
770,1536,[0.33421053 0.33421053 1.        ]
1401,2750,[0.75584421 1.         0.75435158]
500,1000,[0.64708842 1.         0.61791579]
3008,6012,[0.41055684 0.41055684 1.        ]
380,720,[1.         0.89078316 1.        ]
339,636,[0.73989789 0.73989789 1.        ]
71,138,[0.98383158 0.91774947 1.        ]
1072,2000,[0.68688211 1.         0.68688211]
752,1500,[0.68421789 1.         0.68421789]
120,226,[1.         0.66725684 0.5       ]
3533,6976,[1.         0.71963494 0.78579085]
5696,11216,[1.         0.9119586  0.37621918]
438,836,[1.         0.50911512 0.21033497]
